Name,Remaining Time,Current Price,Article URL
3 Tage Wellness Kurzurlaub Boutique Hotel Erla 4* Stubenbergsee Steiermark Reise,Noch 19 Min (Heute 18:58),"EUR 101,00",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Boutique-Hotel-Erla-4-Stubenbergsee-Steiermark-Reise/313353764405?hash=item48f556fe35:g:WXAAAOSwkUJf4anE
4 Tage Wellness Erholung 4* Hotel Margarethenbad Urlaub Hohe Tauern Kärnten HP,Noch 34 Min (Heute 19:13),"EUR 171,66",https://www.ebay.at/itm/4-Tage-Wellness-Erholung-4-Hotel-Margarethenbad-Urlaub-Hohe-Tauern-Karnten-HP/313347373845?hash=item48f4f57b15:g:JuoAAOSwxp1f22rP
5 Tage Wellness Genuss Reise Hotel Das Alpenhaus Kaprun 4* Urlaub inkl. HP,Noch 16 Min (Heute 18:55),"EUR 416,00",https://www.ebay.at/itm/5-Tage-Wellness-Genuss-Reise-Hotel-Das-Alpenhaus-Kaprun-4-Urlaub-inkl-HP/313347339119?hash=item48f4f4f36f:g:U8kAAOSwQOdf22V0
3 Tage 4*S Alpine Lifestyle Hotel Das Kronthaler Wellness Urlaub All Inclusive,"Noch 6T 3Std (Mittwoch, 22:01)","EUR 391,00",https://www.ebay.at/itm/3-Tage-4-S-Alpine-Lifestyle-Hotel-Das-Kronthaler-Wellness-Urlaub-All-Inclusive/402620511357?hash=item5dbe0d747d:g:ndoAAOSwhJNf434G
3 Tage Wellness Kurzurlaub Hotel Almesberger 4*S Mühlviertel Reise inkl. HP,"Noch 6T 5Std (Donnerstag, 0:12)","EUR 323,00",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Hotel-Almesberger-4-S-Muhlviertel-Reise-inkl-HP/402620605414?hash=item5dbe0ee3e6:g:8qAAAOSwglZf45oj
Kurzurlaub 4*S Hotel & Spa Therme Linsberg Asia 3 Tage Luxus Reise Wellness,"Noch 2T 5Std (Samstag, 23:43)","EUR 290,00",https://www.ebay.at/itm/Kurzurlaub-4-S-Hotel-Spa-Therme-Linsberg-Asia-3-Tage-Luxus-Reise-Wellness/383872823880?hash=item59609a7248:g:lKYAAOSwFE5f45Mp
5 Tage Familienurlaub Kinderhotel Benjamin 3* inkl. VP Malta Kärnten Reise,"Noch 6T 2Std (Mittwoch, 21:13)","EUR 248,00",https://www.ebay.at/itm/5-Tage-Familienurlaub-Kinderhotel-Benjamin-3-inkl-VP-Malta-Karnten-Reise/313355585807?hash=item48f572c90f:g:gYAAAOSwGYZf42~W
4 Tage Wörthersee Kurzurlaub my lake hotel & spa 4* Pörtschach Kärnten Erholung,Noch 1 Std (Heute 19:50),"EUR 233,00",https://www.ebay.at/itm/4-Tage-Worthersee-Kurzurlaub-my-lake-hotel-spa-4-Portschach-Karnten-Erholung/402612852518?hash=item5dbd989726:g:zpwAAOSwc1Ff23HO
3 Tage Wellness Urlaub Hotel Stoiser 4*S Kurzreise Loipersdorf Steiermark,"Noch 6T 5Std (Donnerstag, 0:28)","EUR 222,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Stoiser-4-S-Kurzreise-Loipersdorf-Steiermark/313355846602?hash=item48f576c3ca:g:hZwAAOSwUAdf46Ep
3 Tage Wellness Urlaub Hotel Stroissmüller 4* inkl. HP Therme Bad Schallerbach,"Noch 6T 6Std (Donnerstag, 0:40)","EUR 222,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Stroissmuller-4-inkl-HP-Therme-Bad-Schallerbach/313355845721?hash=item48f576c059:g:BCIAAOSw22Ff46Ek
